kingdom	phylum	order	family	genus	species	sci.name
Animalia	Mollusca	Stylommatophora	Oxychilidae	Oxychilus	NA	Oxychilus NA
Animalia	Mollusca	Littorinimorpha	Lithoglyphidae	Fluminicola	NA	Fluminicola NA
Animalia	Mollusca	NA	Euomphalidae	Euomphalus	planodiscus	Euomphalus planodiscus
Animalia	Mollusca	NA	Lymnaeidae	Galba	parva	Galba parva
Animalia	Mollusca	NA	Pterothecidae	Delthyris	expansus	Delthyris expansus
Animalia	Mollusca	NA	Barrandeoceratidae	Bickmorites	NA	Bickmorites NA
Animalia	Mollusca	Unionida	Unionidae	Leptodea	leptodon	Leptodea leptodon
Animalia	Mollusca	Littorinimorpha	Hydrobiidae	Birgella	subglobosus	Birgella subglobosus
Animalia	Mollusca	Unionida	Unionidae	Quadrula	fragosa	Quadrula fragosa
Animalia	Mollusca	Stylommatophora	Euconulidae	Euconulus	fulvus	Euconulus fulvus
Animalia	Mollusca	Pleurotomariida	Eotomariidae	Eotomaria	trochoides	Eotomaria trochoides
Animalia	Mollusca	Stylommatophora	Succineidae	Succinea	ovalis	Succinea ovalis
Animalia	Mollusca	Stylommatophora	Helicidae	Helix	NA	Helix NA
Animalia	Mollusca	Trochida	Elasmonematidae	Loxonema	bellatula	Loxonema bellatula
Animalia	Mollusca	Ammonoidea	Gattendorfiidae	Gattendorfia	NA	Gattendorfia NA
Animalia	Mollusca	Ostreida	Pterineidae	Leptodesma	NA	Leptodesma NA
Animalia	Mollusca	NA	Pleuroceridae	Lithasia	NA	Lithasia NA
Animalia	Mollusca	NA	Holopeidae	Holopea	ampla	Holopea ampla
Animalia	Mollusca	Venerida	Sphaeriidae	Pisidium	lilljeborgii	Pisidium lilljeborgii
Animalia	Mollusca	Stylommatophora	Gastrocoptidae	Gastrocopta	NA	Gastrocopta NA
Animalia	Mollusca	Unionida	Unionidae	Megalonaias	nervosa	Megalonaias nervosa
Animalia	Mollusca	NA	Platyceratidae	Cyclonema	NA	Cyclonema NA
Animalia	Mollusca	Nautilida	Rutoceratidae	Trochoceras	desplainense	Trochoceras desplainense
Animalia	Mollusca	Stylommatophora	Pristilomatidae	Paravitrea	significans	Paravitrea significans
Animalia	Mollusca	Unionida	Unionidae	Cyclonaias	nodulata	Cyclonaias nodulata
Animalia	Mollusca	Unionida	Unionidae	Obovaria	retusa	Obovaria retusa
Animalia	Mollusca	Stylommatophora	Succineidae	Mediappendix	avara	Mediappendix avara
Animalia	Mollusca	Ostreida	Pterineidae	Actinopteria	NA	Actinopteria NA
Animalia	Mollusca	NA	Helicotomidae	Ophiletina	sublaxa	Ophiletina sublaxa
Animalia	Mollusca	Nautilida	Nautilidae	Gyroceras	NA	Gyroceras NA
Animalia	Mollusca	Venerida	Sphaeriidae	Pisidium	dubium	Pisidium dubium
Animalia	Mollusca	Stylommatophora	Discidae	Anguispira	NA	Anguispira NA
Animalia	Mollusca	Unionida	Unionidae	Fusconaia	subrotunda	Fusconaia subrotunda
Animalia	Mollusca	Stylommatophora	Vertiginidae	Vertigo	ventricosa	Vertigo ventricosa
Animalia	Mollusca	NA	Phragmoceratidae	Protophragmoceras	NA	Protophragmoceras NA
Animalia	Mollusca	NA	NA	Mollusca	NA	Mollusca NA
Animalia	Mollusca	NA	Platyceratidae	Cyclonemina	NA	Cyclonemina NA
Animalia	Mollusca	NA	NA	Mudalia	NA	Mudalia NA
Animalia	Mollusca	Unionida	Unionidae	Potamilus	capax	Potamilus capax
Animalia	Mollusca	NA	Pleuroceridae	Elimia	semicarinata	Elimia semicarinata
Animalia	Mollusca	NA	Poterioceratidae	Welleroceras	NA	Welleroceras NA
Animalia	Mollusca	Stylommatophora	Succineidae	Oxyloma	retusum	Oxyloma retusum
Animalia	Mollusca	NA	Ascoceratidae	Ascoceras	NA	Ascoceras NA
Animalia	Mollusca	Pleurotomariida	Pleurotomariidae	Pleurotomaria	laphami	Pleurotomaria laphami
Animalia	Mollusca	NA	Pleuroceridae	Lithasia	armigera	Lithasia armigera
Animalia	Mollusca	Unionida	Unionidae	Truncilla	NA	Truncilla NA
Animalia	Mollusca	Ellobiida	Ellobiidae	Carychium	exile	Carychium exile
Animalia	Mollusca	NA	Poterioceratidae	Gomphoceras	NA	Gomphoceras NA
Animalia	Mollusca	NA	Pterothecidae	Pterotheca	intermedia	Pterotheca intermedia
Animalia	Mollusca	NA	Valvatidae	Valvata	NA	Valvata NA
Animalia	Mollusca	NA	Lophospiridae	Lophospira	perangulata	Lophospira perangulata
Animalia	Mollusca	Architaenioglossa	Viviparidae	Campeloma	NA	Campeloma NA
Animalia	Mollusca	Stylommatophora	Polygyridae	Stenotrema	barbatum	Stenotrema barbatum
Animalia	Mollusca	Venerida	Sphaeriidae	Pisidium	adamsii	Pisidium adamsii
Animalia	Mollusca	NA	Valvatidae	Valvata	lewisi	Valvata lewisi
Animalia	Mollusca	Stylommatophora	Discidae	Discus	NA	Discus NA
Animalia	Mollusca	Stylommatophora	Haplotrematidae	Haplotrema	concavum	Haplotrema concavum
Animalia	Mollusca	NA	Loxonematidae	Omospira	alexandra	Omospira alexandra
Animalia	Mollusca	NA	Lophospiridae	Lophospiridae	NA	Lophospiridae NA
Animalia	Mollusca	NA	Platyceratidae	Pileopsis	cornuta	Pileopsis cornuta
Animalia	Mollusca	Stylommatophora	Polygyridae	Euchemotrema	fraternum	Euchemotrema fraternum
