genus	spp	sci.name
Neopisidium	cruciatum	Neopisidium cruciatum
Neopisidium	punctatum	Neopisidium punctatum
Nesovitrea	binneyana	Nesovitrea binneyana
Nesovitrea	electrina	Nesovitrea electrina
Obliquaria	reflexa	Obliquaria reflexa
Oxychilus	allarius	Oxychilus allarius
Oxyloma	peoriense	Oxyloma peoriense
Oxyloma	retusum	Oxyloma retusum
Pallifera	dorsalis	Pallifera dorsalis
Pallifera	fosteri	Pallifera fosteri
Pallifera	hemphilli	Pallifera hemphilli
Paravitrea	multidentata	Paravitrea multidentata
Patera	pennsylvanica	Patera pennsylvanica
Physa	gyrina	Physa gyrina
Physa	jennessi	Physa jennessi
Physa	skinneri	Physa skinneri
Physella	acuta	Physella acuta
Physella	ancillaria	Physella ancillaria
Physella	gyrina	Physella gyrina
Physella	integra	Physella integra
Physella	magnalacustris	Physella magnalacustris
Physella	parkeri	Physella parkeri
Physella	vinosa	Physella vinosa
Pisidium	adamsi	Pisidium adamsi
Pisidium	casertanum	Pisidium casertanum
Pisidium	compressum	Pisidium compressum
Pisidium	conventus	Pisidium conventus
Pisidium	cruciatum	Pisidium cruciatum
Pisidium	dubium	Pisidium dubium
Pisidium	fallax	Pisidium fallax
Pisidium	ferrugineum	Pisidium ferrugineum
Pisidium	idahoense	Pisidium idahoense
Pisidium	insigne	Pisidium insigne
Pisidium	lilljeborgi	Pisidium lilljeborgi
Pisidium	milium	Pisidium milium
Pisidium	nitidum	Pisidium nitidum
Pisidium	subtruncatum	Pisidium subtruncatum
Pisidium	variabile	Pisidium variabile
Pisidium	ventricosum	Pisidium ventricosum
Pisidium	walkeri	Pisidium walkeri
Planogyra	asteriscus	Planogyra asteriscus
Planorbella	campanulata	Planorbella campanulata
Planorbella	multivolvis	Planorbella multivolvis
Planorbella	truncata	Planorbella truncata
Planorbidae	NA	Planorbidae NA
Planorbula	armigera	Planorbula armigera
Pleurobema	clava	Pleurobema clava
Pleurobema	cordatum	Pleurobema cordatum
Polygyra	septemvolva	Polygyra septemvolva
Pomacea	maculata	Pomacea maculata
Pomatiopsis	cincinnatiensis	Pomatiopsis cincinnatiensis
Pomatiopsis	lapidaria	Pomatiopsis lapidaria
Potamilis	alatus	Potamilis alatus
Potamilus	ohiensis	Potamilus ohiensis
Probythinella	emarginata	Probythinella emarginata
Pseudosuccinea	columella	Pseudosuccinea columella
Punctum	minutissimum	Punctum minutissimum
Pupilla	muscorum	Pupilla muscorum
Pyanodon	catatacta	Pyanodon catatacta
Pyganodon	lacustris	Pyganodon lacustris
Pyganodon	subgibbosa	Pyganodon subgibbosa
Quadrula	pustulosa	Quadrula pustulosa
Sphaerium	fabale	Sphaerium fabale
Sphaerium	nitidum	Sphaerium nitidum
Sphaerium	rhomboideum	Sphaerium rhomboideum
Sphaerium	simile	Sphaerium simile
Sphaerium	striatinum	Sphaerium striatinum
Stagnicola	apicina	Stagnicola apicina
Stagnicola	catascopium	Stagnicola catascopium
Stagnicola	contracta	Stagnicola contracta
Stagnicola	elodes	Stagnicola elodes
Stagnicola	emarginata	Stagnicola emarginata
Stagnicola	exilis	Stagnicola exilis
Stagnicola	petoskeyensis	Stagnicola petoskeyensis
Stagnicola	walkeriana	Stagnicola walkeriana
